Group,Item,item2,Condition,Factor1,Factor2,Factor3,Context,TargetSentence
a,1,t1,a,Def.plural,Def.plural,Def.plural,"Outside the school, there was a group of students talking about how the exam went.",The students thought that they were the only one who got an A plus.
b,1,t1,b,All,All,All,"Outside the school, there was a group of students talking about how the exam went.",All the students thought that they were the only one who got an A plus.
c,1,t1,c,Every,Every,Every,"Outside the school, there was a group of students talking about how the exam went.",Every student thought that they were the only one who got an A plus.
d,1,t1,d,Each,Each,Each,"Outside the school, there was a group of students talking about how the exam went.",Each student thought that they were the only one who got an A plus.
b,2,t2,a,Def.plural,Def.plural,Def.plural,"At the racing track early in the morning, a bunch of runners were bragging about race times. ",The runners said that they were the only one who could beat the record.
c,2,t2,b,All,All,All,"At the racing track early in the morning, a bunch of runners were bragging about race times. ",All the runners said that they were the only one who could beat the record.
d,2,t2,c,Every,Every,Every,"At the racing track early in the morning, a bunch of runners were bragging about race times. ",Every runner said that they were the only one who could beat the record.
a,2,t2,d,Each,Each,Each,"At the racing track early in the morning, a bunch of runners were bragging about race times. ",Each runner said that they were the only one who could beat the record.
c,3,t3,a,Def.plural,Def.plural,Def.plural,"After the restaurant closed for the night, a group of servers were talking about tips.",The servers thought that they were the only one who got really bad tips.
d,3,t3,b,All,All,All,"After the restaurant closed for the night, a group of servers were talking about tips.",All the servers thought that they were the only one who got really bad tips.
a,3,t3,c,Every,Every,Every,"After the restaurant closed for the night, a group of servers were talking about tips.",Every server thought that they were the only one who got really bad tips.
b,3,t3,d,Each,Each,Each,"After the restaurant closed for the night, a group of servers were talking about tips.",Each server thought that they were the only one who got really bad tips.
d,4,t4,a,Def.plural,Def.plural,Def.plural,A group of freshmen had applied for a prestigious scholarship at the university.,The freshmen believed that they were the only one who would get the award.
a,4,t4,b,All,All,All,A group of freshmen had applied for a prestigious scholarship at the university.,All the freshmen believed that they were the only one who would get the award.
b,4,t4,c,Every,Every,Every,A group of freshmen had applied for a prestigious scholarship at the university.,Every freshman believed that they were the only one who would get the award.
c,4,t4,d,Each,Each,Each,A group of freshmen had applied for a prestigious scholarship at the university.,Each freshman believed that they were the only one who would get the award.
a,5,t5,a,Def.plural,Def.plural,Def.plural,A bunch of chefs were competing to make the best cupcakes on a popular baking show.,The chefs hoped that they were the only one who used chocolate frosting.
b,5,t5,b,All,All,All,A bunch of chefs were competing to make the best cupcakes on a popular baking show.,All the chefs hoped that they were the only one who used chocolate frosting.
c,5,t5,c,Every,Every,Every,A bunch of chefs were competing to make the best cupcakes on a popular baking show.,Every chef hoped that they were the only one who used chocolate frosting.
d,5,t5,d,Each,Each,Each,A bunch of chefs were competing to make the best cupcakes on a popular baking show.,Each chef hoped that they were the only one who used chocolate frosting.
b,6,t6,a,Def.plural,Def.plural,Def.plural,A group of teenagers were deciding on a video game to play at the house party.,The teenagers believed that they were the only one who hated playing Mario Kart.
c,6,t6,b,All,All,All,A group of teenagers were deciding on a video game to play at the house party.,All the teenagers believed that they were the only one who hated playing Mario Kart.
d,6,t6,c,Every,Every,Every,A group of teenagers were deciding on a video game to play at the house party.,Every teenager believed that they were the only one who hated playing Mario Kart.
a,6,t6,d,Each,Each,Each,A group of teenagers were deciding on a video game to play at the house party.,Each teenager believed that they were the only one who hated playing Mario Kart.
